date,time,candidate,party,mention_rate,pos_tweets,neg_tweets,neut_tweets
4/26/2016,11:07:09,trump,gop,8.385744,2,2,4
4/26/2016,11:07:16,cruz,gop,2.976191,0,3,5
4/26/2016,11:07:21,kasich,gop,2.508623,0,1,7
4/26/2016,11:07:24,clinton,dem,4.524887,3,1,4
4/26/2016,11:07:29,sanders,dem,2.802102,3,1,4
4/26/2016,11:37:31,trump,gop,7.246376,0,4,4
4/26/2016,11:37:34,cruz,gop,4.550626,0,1,7
4/26/2016,11:37:42,kasich,gop,1.377648,1,1,6
4/26/2016,11:37:45,clinton,dem,4.784689,1,1,6
4/26/2016,11:37:52,sanders,dem,2.605015,1,3,4
4/26/2016,13:31:35,trump,gop,6.908463,4,0,4
4/26/2016,13:31:40,cruz,gop,2.407463,1,1,6
4/26/2016,13:31:46,kasich,gop,2.320186,0,2,6
4/26/2016,13:31:49,clinton,dem,6.493507,1,4,3
4/26/2016,13:31:52,sanders,dem,5.434783,1,1,6
4/26/2016,14:01:55,trump,gop,13.651878,2,3,3
4/26/2016,14:01:58,cruz,gop,5.921539,0,3,5
4/26/2016,14:02:05,kasich,gop,1.772264,3,4,1
4/26/2016,14:02:08,clinton,dem,4.385965,2,2,4
4/26/2016,14:02:11,sanders,dem,5.912787,2,1,5
4/26/2016,14:32:14,trump,gop,15.414264,2,1,5
4/26/2016,14:32:17,cruz,gop,6.855184,2,1,5
4/26/2016,14:32:24,kasich,gop,1.606426,2,3,3
4/26/2016,14:32:27,clinton,dem,5.479453,1,3,4
4/26/2016,14:32:31,sanders,dem,4.574042,2,1,5
4/26/2016,15:02:34,trump,gop,9.732363,1,2,5
4/26/2016,15:02:39,cruz,gop,2.70911,0,1,7
4/26/2016,15:02:46,kasich,gop,1.70394,2,1,5
4/26/2016,15:02:49,clinton,dem,5.730659,1,2,5
4/26/2016,15:02:52,sanders,dem,9.101252,2,1,5
4/26/2016,15:32:55,trump,gop,14.598538,1,1,6
4/26/2016,15:32:58,cruz,gop,5.517242,1,4,3
4/26/2016,15:33:05,kasich,gop,1.676797,0,2,6
4/26/2016,15:33:09,clinton,dem,3.809524,1,1,6
4/26/2016,15:33:14,sanders,dem,2.738788,1,4,3
4/26/2016,16:03:17,trump,gop,11.396013,3,3,2
4/26/2016,16:03:20,cruz,gop,5.037783,2,1,5
4/26/2016,16:03:27,kasich,gop,1.603528,0,3,5
4/26/2016,16:03:30,clinton,dem,7.060899,1,3,4
4/26/2016,16:03:34,sanders,dem,3.717472,3,2,3
4/26/2016,16:33:38,trump,gop,6.717045,1,0,7
4/26/2016,16:33:42,cruz,gop,4.110997,2,0,6
4/26/2016,16:33:48,kasich,gop,1.846296,1,2,5
4/26/2016,16:33:52,clinton,dem,4.990642,1,2,5
4/26/2016,16:33:55,sanders,dem,4.830918,0,4,4
4/26/2016,17:03:58,trump,gop,8.121826,1,2,5
4/26/2016,17:04:01,cruz,gop,6.999126,0,2,6
4/26/2016,17:04:06,kasich,gop,3.374104,1,3,4
4/26/2016,17:04:08,clinton,dem,8.57449,0,1,7
4/26/2016,17:04:12,sanders,dem,4.898959,1,3,4
4/26/2016,17:34:15,trump,gop,9.546539,1,2,5
4/26/2016,17:34:19,cruz,gop,3.824092,0,2,6
4/26/2016,17:34:25,kasich,gop,1.87047,0,1,7
4/26/2016,17:34:28,clinton,dem,9.195401,0,3,5
4/26/2016,17:34:31,sanders,dem,6.477732,1,2,5
4/26/2016,18:04:34,trump,gop,16.22718,0,4,4
4/26/2016,18:04:36,cruz,gop,11.315417,1,3,4
4/26/2016,18:04:43,kasich,gop,1.542912,2,2,4
4/26/2016,18:04:46,clinton,dem,12.6183,4,1,3
4/26/2016,18:04:49,sanders,dem,4.990642,1,1,6
4/26/2016,18:34:52,trump,gop,25.078369,1,3,4
4/26/2016,18:34:55,cruz,gop,7.759458,2,1,5
4/26/2016,18:34:59,kasich,gop,3.582624,2,4,2
4/26/2016,18:35:01,clinton,dem,26.490062,3,0,5
4/26/2016,18:35:03,sanders,dem,9.153317,1,2,5
4/26/2016,19:05:06,trump,gop,20.000007,3,1,4
4/26/2016,19:05:08,cruz,gop,11.111114,0,3,5
4/26/2016,19:05:12,kasich,gop,3.698567,1,5,2
4/26/2016,19:05:15,clinton,dem,21.39037,2,3,3
4/26/2016,19:05:17,sanders,dem,8.849557,0,2,6
4/26/2016,20:13:48,trump,gop,17.73836,0,5,3
4/26/2016,20:13:53,cruz,gop,7.155635,3,0,5
4/26/2016,20:13:57,kasich,gop,3.499563,2,3,3
4/26/2016,20:13:59,clinton,dem,22.038573,2,1,5
4/26/2016,20:14:01,sanders,dem,9.08059,4,2,2
4/26/2016,20:44:03,trump,gop,25.316457,3,2,3
4/26/2016,20:44:07,cruz,gop,3.60848,1,2,5
4/26/2016,20:44:11,kasich,gop,3.280033,1,1,6
4/26/2016,20:44:13,clinton,dem,20.997373,5,1,2
4/26/2016,20:44:15,sanders,dem,9.378664,2,3,3
4/26/2016,21:14:20,trump,gop,25.316457,2,1,5
4/26/2016,21:14:22,cruz,gop,8.705115,3,1,4
4/26/2016,21:14:26,kasich,gop,3.956479,1,2,5
4/26/2016,21:14:28,clinton,dem,13.355593,1,0,7
4/26/2016,21:14:31,sanders,dem,4.845549,1,4,3
4/26/2016,21:44:34,trump,gop,17.094019,1,3,4
4/26/2016,21:44:37,cruz,gop,6.578947,0,2,6
4/26/2016,21:44:41,kasich,gop,2.574831,2,1,5
4/26/2016,21:44:43,clinton,dem,11.494251,1,2,5
4/26/2016,21:44:46,sanders,dem,7.104796,1,4,3
